Data,"Aquisição de usuários (Novos usuários, Todos os eventos, Por intervalo, Diária): Brasil","Público de instalação (Todos os usuários, Usuários únicos, Por intervalo, Diária): Brasil",Observações
04/03/2021,6,1.524,
05/03/2021,5,1.525,
06/03/2021,1,1.522,
07/03/2021,2,1.530,
08/03/2021,6,1.538,
09/03/2021,3,1.541,
10/03/2021,8,1.546,
11/03/2021,2,1.540,
12/03/2021,4,1.535,
13/03/2021,3,1.558,
14/03/2021,1,1.549,
15/03/2021,7,1.543,
16/03/2021,4,1.557,
17/03/2021,4,1.558,
18/03/2021,6,1.539,
19/03/2021,4,1.544,
20/03/2021,4,1.543,
21/03/2021,5,1.544,
22/03/2021,4,1.536,
23/03/2021,4,1.536,
24/03/2021,4,1.544,
25/03/2021,4,1.537,
26/03/2021,4,1.561,
27/03/2021,2,1.539,
28/03/2021,2,1.534,
29/03/2021,6,1.567,
30/03/2021,6,1.551,
31/03/2021,6,1.567,
01/04/2021,4,1.564,
02/04/2021,4,1.581,
03/04/2021,4,1.566,
04/04/2021,2,1.587,
05/04/2021,3,1.577,
06/04/2021,7,1.590,
07/04/2021,5,1.585,Lançamento da versão: Início do lançamento de 315 (1.1.3) em 100%.
08/04/2021,5,1.592,
9/04/2021,7,1.592,
10/04/2021,1,1.580,
11/04/2021,3,1.562,
12/04/2021,2,1.582,
13/04/2021,3,1.592,
14/04/2021,3,1.591,
15/04/2021,11,1.577,
16/04/2021,12,1.608,
17/04/2021,6,1.609,
18/04/2021,4,1.595,
19/04/2021,5,1.585,
20/04/2021,4,1.607,
21/04/2021,6,1.594,
22/04/2021,7,1.609,
23/04/2021,5,1.612,
24/04/2021,3,1.603,
25/04/2021,5,1.604,
26/04/2021,4,1.601,
27/04/2021,4,1.601,
28/04/2021,5,1.618,
29/04/2021,4,1.602,
30/04/2021,5,1.614,
01/05/2021,5,1.615,
02/05/2021,6,1.615,
03/05/2021,5,1.621,
04/05/2021,9,1.637,
05/05/2021,6,1.620,
06/05/2021,1,1.623,
07/05/2021,4,1.619,
08/05/2021,3,1.625,
09/05/2021,1,1.613,
10/05/2021,4,1.621,
11/05/2021,6,1.632,
12/05/2021,8,1.634,
13/05/2021,3,1.609,
14/05/2021,4,1.642,
15/05/2021,5,1.635,
16/05/2021,3,1.618,
17/05/2021,8,1.635,Lançamento da versão: Início do lançamento de 340 (1.1.4) em 100%.
18/05/2021,7,1.625,Lançamento da versão: Início do lançamento de 345 (1.1.5) em 100%.
19/05/2021,5,1.650,
20/05/2021,8,1.645,
21/05/2021,7,1.658,
22/05/2021,6,1.648,
23/05/2021,2,1.640,
24/05/2021,5,1.656,
25/05/2021,5,1.664,
26/05/2021,7,1.651,
27/05/2021,7,1.678,
28/05/2021,4,1.667,
29/05/2021,2,1.674,
30/05/2021,1,1.654,
31/05/2021,5,1.666,
01/06/2021,2,1.656,
02/06/2021,6,1.677,Lançamento da versão: Início do lançamento de 370 (1.1.7) em 100%.
03/06/2021,2,1.660,
04/06/2021,3,1.701,
05/06/2021,2,1.666,
06/06/2021,2,1.679,
07/06/2021,7,1.688,
08/06/2021,9,1.693,
09/06/2021,2,1.702,
10/06/2021,4,1.686,
11/06/2021,3,1.674,
12/06/2021,5,1.688,
13/06/2021,3,1.697,
14/06/2021,7,1.670,
15/06/2021,9,1.687,
16/06/2021,7,1.689,
17/06/2021,8,1.695,
18/06/2021,4,1.702,
19/06/2021,4,1.704,
20/06/2021,1,1.701,
21/06/2021,3,1.698,
22/06/2021,4,1.715,
23/06/2021,3,1.700,
24/06/2021,7,1.706,
25/06/2021,7,1.706,
26/06/2021,2,1.706,
27/06/2021,1,1.721,
28/06/2021,4,1.693,
29/06/2021,6,1.719,
30/06/2021,2,1.712,
01/07/2021,13,1.712,
02/07/2021,7,1.710,
03/07/2021,2,1.721,
04/07/2021,6,1.705,
05/07/2021,2,1.726,
06/07/2021,8,1.727,
07/07/2021,7,1.727,
08/07/2021,5,1.711,
09/07/2021,2,1.723,
10/07/2021,1,1.728,
11/07/2021,0,1.731,
12/07/2021,5,1.720,
13/07/2021,4,1.716,
